epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,59163.8,0.82007,0.60162,1.01118,0.96283,0.96933,0.98512,0.72985,0.83485,0.5553,1.00189,0.000259938,0.000259938,0.000259938
120,59665.6,0.81071,0.60404,0.99836,0.96267,0.96688,0.98476,0.73287,0.83305,0.55144,0.99766,0.000256844,0.000256844,0.000256844
121,60155.8,0.80557,0.58339,0.99818,0.94633,0.97065,0.97728,0.72498,0.83372,0.55372,0.99577,0.00025375,0.00025375,0.00025375
122,60654.4,0.79836,0.57836,1.00135,0.97501,0.96028,0.98127,0.7399,0.82262,0.54391,0.99229,0.000250656,0.000250656,0.000250656
123,61160.7,0.79928,0.57402,1.00342,0.94794,0.96484,0.97958,0.72991,0.859,0.56813,1.01752,0.000247563,0.000247563,0.000247563
124,61672.4,0.80188,0.58067,0.9962,0.96478,0.96643,0.98298,0.73863,0.82678,0.54421,0.9961,0.000244469,0.000244469,0.000244469
125,62171.1,0.81178,0.58704,0.99978,0.9633,0.96748,0.98367,0.72969,0.83567,0.54848,0.99729,0.000241375,0.000241375,0.000241375
126,62685.8,0.81541,0.59565,1.00085,0.96601,0.96675,0.98408,0.72372,0.84065,0.55172,1.00424,0.000238281,0.000238281,0.000238281
127,63185.6,0.81362,0.58096,0.9987,0.97035,0.96399,0.98565,0.73212,0.839,0.55086,0.99971,0.000235188,0.000235188,0.000235188
128,63694.9,0.81201,0.581,0.99985,0.97802,0.95603,0.9828,0.73347,0.84382,0.55173,1.00309,0.000232094,0.000232094,0.000232094
129,64205.8,0.80788,0.58891,1.00552,0.97486,0.96957,0.98527,0.72095,0.84339,0.5531,0.99976,0.000229,0.000229,0.000229
130,64706.8,0.79487,0.57577,0.99056,0.97493,0.96808,0.98452,0.72647,0.84802,0.55344,1.00547,0.000225906,0.000225906,0.000225906
131,65206.1,0.80896,0.57634,0.99775,0.97791,0.96599,0.98513,0.73028,0.85046,0.55194,1.01773,0.000222813,0.000222813,0.000222813
132,65703.4,0.79392,0.5736,0.98554,0.97561,0.96204,0.98149,0.72844,0.82491,0.54281,0.98508,0.000219719,0.000219719,0.000219719
133,66214.2,0.79554,0.57712,1.00238,0.97589,0.96748,0.98363,0.72272,0.83616,0.55085,1.00233,0.000216625,0.000216625,0.000216625
134,66709.7,0.80713,0.57709,0.99265,0.97218,0.96917,0.9824,0.72224,0.84494,0.55161,1.00154,0.000213531,0.000213531,0.000213531
135,67215.7,0.78374,0.56194,0.98929,0.97732,0.9719,0.98527,0.73594,0.82435,0.53958,0.98651,0.000210437,0.000210437,0.000210437
136,67720.5,0.79044,0.56936,0.99004,0.97727,0.96774,0.98445,0.72358,0.84879,0.543,0.99808,0.000207344,0.000207344,0.000207344
137,68220.4,0.7904,0.55919,0.98879,0.97425,0.97197,0.98236,0.72689,0.82616,0.53752,0.98812,0.00020425,0.00020425,0.00020425
138,68722.3,0.79868,0.5722,0.99572,0.9774,0.97063,0.98554,0.73284,0.84258,0.54244,1.00516,0.000201156,0.000201156,0.000201156
139,69234.5,0.80594,0.58733,1.00014,0.97266,0.96786,0.98344,0.74353,0.8213,0.53109,0.98641,0.000198063,0.000198063,0.000198063
140,69739.6,0.79613,0.57482,0.99819,0.97548,0.96813,0.9845,0.73139,0.84905,0.54578,1.00833,0.000194969,0.000194969,0.000194969
141,70240.6,0.79588,0.57801,0.99236,0.97149,0.9733,0.98459,0.72938,0.82673,0.53872,0.98837,0.000191875,0.000191875,0.000191875
142,70756.7,0.80114,0.57686,0.99973,0.9766,0.96768,0.98472,0.7412,0.8398,0.5432,1.00528,0.000188781,0.000188781,0.000188781
143,71264.5,0.79128,0.57217,0.98693,0.97588,0.96501,0.98373,0.74206,0.83172,0.53621,0.99261,0.000185688,0.000185688,0.000185688
144,71761.9,0.7739,0.55678,0.98629,0.97655,0.96507,0.98364,0.73345,0.84433,0.54293,1.00191,0.000182594,0.000182594,0.000182594
145,72262.2,0.80689,0.57521,0.9996,0.97505,0.96707,0.9825,0.73155,0.83534,0.53786,0.99287,0.0001795,0.0001795,0.0001795
146,72785.2,0.7917,0.56109,0.9917,0.97025,0.97128,0.98544,0.72701,0.82496,0.52776,0.98394,0.000176406,0.000176406,0.000176406
147,73281.9,0.77946,0.56371,0.98278,0.97344,0.96743,0.98432,0.73271,0.82327,0.5319,0.99133,0.000173313,0.000173313,0.000173313
148,73810.2,0.78008,0.55354,0.98871,0.97758,0.96917,0.98604,0.74231,0.82922,0.5335,0.99881,0.000170219,0.000170219,0.000170219
149,74347.8,0.77007,0.55123,0.98332,0.97466,0.96738,0.9846,0.74546,0.81261,0.52042,0.97798,0.000167125,0.000167125,0.000167125
150,74887.5,0.77947,0.55658,0.984,0.97476,0.97016,0.98508,0.73926,0.82257,0.52876,0.98646,0.000164031,0.000164031,0.000164031
151,75438.6,0.79198,0.56065,0.98364,0.97586,0.9693,0.98459,0.73467,0.82683,0.52913,0.99472,0.000160938,0.000160938,0.000160938
152,75969.7,0.77646,0.55597,0.98368,0.96326,0.9703,0.98492,0.74055,0.81383,0.52125,0.9808,0.000157844,0.000157844,0.000157844
153,76475.9,0.79047,0.5653,0.99266,0.97094,0.97392,0.98611,0.74759,0.81776,0.52591,0.98902,0.00015475,0.00015475,0.00015475
154,76978.7,0.77645,0.55611,0.98725,0.96125,0.97701,0.98407,0.74376,0.81957,0.52547,0.98481,0.000151656,0.000151656,0.000151656
155,77471.6,0.7831,0.55818,0.98134,0.97261,0.96913,0.98398,0.73597,0.82701,0.52497,0.99199,0.000148563,0.000148563,0.000148563
156,77959.7,0.76949,0.54799,0.98282,0.96764,0.97303,0.98494,0.75053,0.80954,0.51716,0.9759,0.000145469,0.000145469,0.000145469
157,78451.8,0.78058,0.5476,0.986,0.97789,0.96775,0.98518,0.7369,0.83518,0.53298,0.9977,0.000142375,0.000142375,0.000142375
158,78948.8,0.77861,0.55518,0.98368,0.97605,0.97357,0.98686,0.73642,0.82159,0.52388,0.98679,0.000139281,0.000139281,0.000139281
159,79450,0.78269,0.55357,0.98597,0.97341,0.97291,0.9864,0.74031,0.81835,0.51931,0.99187,0.000136187,0.000136187,0.000136187
160,79964.8,0.76976,0.54843,0.97974,0.97426,0.97052,0.98369,0.73564,0.82905,0.52711,0.99048,0.000133094,0.000133094,0.000133094
161,80466.4,0.79426,0.56093,0.99274,0.97303,0.97394,0.98418,0.73984,0.80873,0.51466,0.97782,0.00013,0.00013,0.00013
162,80962.8,0.77822,0.54844,0.98281,0.97555,0.97106,0.98529,0.74016,0.81012,0.51903,0.98227,0.000126906,0.000126906,0.000126906
163,81467.7,0.77644,0.54093,0.97962,0.97648,0.9717,0.98528,0.73821,0.81613,0.51471,0.98384,0.000123812,0.000123812,0.000123812
164,81973.4,0.78216,0.55688,0.98531,0.97626,0.97248,0.98754,0.73684,0.81222,0.51737,0.98023,0.000120719,0.000120719,0.000120719
165,82470.3,0.78419,0.55298,0.98332,0.97244,0.97186,0.98504,0.74198,0.81,0.51317,0.97584,0.000117625,0.000117625,0.000117625
166,82959.6,0.77447,0.54361,0.98056,0.97348,0.97226,0.98533,0.73558,0.82601,0.52225,0.98968,0.000114531,0.000114531,0.000114531
167,83440,0.7752,0.54874,0.9847,0.97357,0.9731,0.98569,0.74613,0.81279,0.51725,0.97877,0.000111438,0.000111438,0.000111438
168,83927.3,0.76126,0.53935,0.97559,0.97292,0.974,0.9859,0.74348,0.81449,0.51667,0.98278,0.000108344,0.000108344,0.000108344
169,84430.8,0.77808,0.5383,0.98179,0.96717,0.97547,0.9865,0.74194,0.80387,0.51112,0.9763,0.00010525,0.00010525,0.00010525
170,84932.9,0.7735,0.54714,0.97469,0.97547,0.97122,0.98652,0.73553,0.82004,0.51636,0.98281,0.000102156,0.000102156,0.000102156
171,85428.6,0.77996,0.54625,0.9823,0.97166,0.97567,0.98535,0.73703,0.80924,0.51307,0.97867,9.90625e-05,9.90625e-05,9.90625e-05
172,85927.9,0.76541,0.54292,0.98085,0.97598,0.97266,0.98522,0.74276,0.80666,0.51033,0.97325,9.59688e-05,9.59688e-05,9.59688e-05
